,start_location,end_location
82,"(26958.799822935136, 27686.851257230242)","(27006.039593327485, 27667.69257428884)"
83,"(27006.039593327485, 27667.69257428884)","(27059.737096961195, 27685.334984218323)"
84,"(27059.737096961195, 27685.334984218323)","(27089.15170452655, 27610.21602148263)"
85,"(27089.15170452655, 27610.21602148263)","(27411.832769853892, 27739.30709511068)"
86,"(27411.832769853892, 27739.30709511068)","(27393.635748656772, 27764.252523632633)"
87,"(26408.157659792414, 27410.018185907888)","(26318.778684586534, 27534.993277241912)"
88,"(26318.778684586534, 27534.993277241912)","(26371.06159919205, 27597.809320837405)"
89,"(26371.06159919205, 27597.809320837405)","(26510.302919004433, 27702.500510842277)"
90,"(26510.302919004433, 27702.500510842277)","(26579.631128297202, 27753.031234996015)"
91,"(26579.631128297202, 27753.031234996015)","(26865.858780195165, 27917.845246935583)"
92,"(26865.858780195165, 27917.845246935583)","(26806.288624367648, 28056.767780172086)"
93,"(26806.288624367648, 28056.767780172086)","(26901.08141280667, 28091.46991442822)"
94,"(26901.08141280667, 28091.46991442822)","(26893.93964189703, 28198.79776032237)"
95,"(26893.93964189703, 28198.79776032237)","(26867.878647757432, 28242.20009341484)"
96,"(26867.878647757432, 28242.20009341484)","(26908.966011955956, 28271.562355282513)"
97,"(26908.966011955956, 28271.562355282513)","(26855.456748673518, 28339.396177846676)"
98,"(26408.157659792414, 27410.018185907888)","(26357.778765109353, 27480.853753968287)"
99,"(26357.778765109353, 27480.853753968287)","(26475.68805966599, 27409.65142916041)"
100,"(26475.68805966599, 27409.65142916041)","(26558.169161465456, 27470.937277372315)"
101,"(26558.169161465456, 27470.937277372315)","(26591.168156834334, 27442.47162064779)"
102,"(26591.168156834334, 27442.47162064779)","(26664.288192855296, 27336.06438356251)"
103,"(26664.288192855296, 27336.06438356251)","(26474.123630980248, 27193.221156879008)"
104,"(26474.123630980248, 27193.221156879008)","(26734.088461661493, 26766.92524941769)"
105,"(26734.088461661493, 26766.92524941769)","(26675.463589726656, 26690.106594782817)"
106,"(26675.463589726656, 26690.106594782817)","(26683.06680639014, 26682.319759372884)"
107,"(26683.06680639014, 26682.319759372884)","(26691.022956501314, 26063.007532366115)"
108,"(26691.022956501314, 26063.007532366115)","(26841.918650100473, 26068.40843941181)"
109,"(26408.157659792414, 27410.018185907888)","(26357.778765109353, 27480.853753968287)"
110,"(26357.778765109353, 27480.853753968287)","(26475.68805966599, 27409.65142916041)"
111,"(26475.68805966599, 27409.65142916041)","(26558.169161465456, 27470.937277372315)"
112,"(26558.169161465456, 27470.937277372315)","(26591.168156834334, 27442.47162064779)"
113,"(26591.168156834334, 27442.47162064779)","(26664.288192855296, 27336.06438356251)"
114,"(26664.288192855296, 27336.06438356251)","(26474.123630980248, 27193.221156879008)"
115,"(26474.123630980248, 27193.221156879008)","(26734.088461661493, 26766.92524941769)"
116,"(26734.088461661493, 26766.92524941769)","(26725.31105204746, 26762.526041668345)"
117,"(26725.31105204746, 26762.526041668345)","(26942.15503591996, 26549.88973346571)"
118,"(26942.15503591996, 26549.88973346571)","(27078.285738524864, 26426.725764825736)"
119,"(27078.285738524864, 26426.725764825736)","(27217.401584414445, 26278.7511935253)"
120,"(27217.401584414445, 26278.7511935253)","(27221.851567909456, 26283.440743797022)"
121,"(27221.851567909456, 26283.440743797022)","(27623.1451881564, 25604.242848984053)"
122,"(27623.1451881564, 25604.242848984053)","(27561.09283934781, 25499.407182473427)"
123,"(27561.09283934781, 25499.407182473427)","(27686.234449859243, 25454.877247918368)"
124,"(26408.157659792414, 27410.018185907888)","(26318.778684586534, 27534.993277241912)"
125,"(26318.778684586534, 27534.993277241912)","(26371.06159919205, 27597.809320837405)"
126,"(26371.06159919205, 27597.809320837405)","(26510.302919004433, 27702.500510842277)"
127,"(26510.302919004433, 27702.500510842277)","(26579.631128297202, 27753.031234996015)"
128,"(26579.631128297202, 27753.031234996015)","(26981.38428018395, 27967.028722701565)"
129,"(26981.38428018395, 27967.028722701565)","(27087.65086970599, 28005.435197689134)"
130,"(27087.65086970599, 28005.435197689134)","(27232.17524318237, 28051.685021333717)"
131,"(27232.17524318237, 28051.685021333717)","(27307.68695196786, 28084.897110131016)"
132,"(27307.68695196786, 28084.897110131016)","(27286.347619534325, 28135.420911209687)"
133,"(27286.347619534325, 28135.420911209687)","(27416.31389992473, 28191.88802819894)"
134,"(27416.31389992473, 28191.88802819894)","(27413.597241838375, 28237.514353919105)"
135,"(27413.597241838375, 28237.514353919105)","(27429.923747073626, 28244.42478310541)"
136,"(26408.157659792414, 27410.018185907888)","(26318.778684586534, 27534.993277241912)"
137,"(26318.778684586534, 27534.993277241912)","(26385.7941107332, 27610.976098116516)"
138,"(26385.7941107332, 27610.976098116516)","(26299.019134228525, 27735.28325011747)"
139,"(26299.019134228525, 27735.28325011747)","(26208.120181973427, 27875.23792334026)"
140,"(26208.120181973427, 27875.23792334026)","(26052.258825640616, 27783.723288855952)"
141,"(26052.258825640616, 27783.723288855952)","(26091.46195403082, 27731.512860631017)"
142,"(26091.46195403082, 27731.512860631017)","(25932.95671889205, 27625.218649492628)"
143,"(25932.95671889205, 27625.218649492628)","(25903.80281186894, 27694.060806216934)"
144,"(25903.80281186894, 27694.060806216934)","(25890.779627653857, 27716.282165679877)"
145,"(25890.779627653857, 27716.282165679877)","(25876.88896008402, 27710.93048527089)"
146,"(26029.9745299004, 27205.14069162021)","(26093.23425888599, 27248.71930697505)"
147,"(26093.23425888599, 27248.71930697505)","(26072.872685395705, 27276.508319990797)"
148,"(26072.872685395705, 27276.508319990797)","(26129.726414202523, 27313.078176406998)"
149,"(26129.726414202523, 27313.078176406998)","(26084.44756021937, 27377.935042246158)"
150,"(26084.44756021937, 27377.935042246158)","(26318.778684586534, 27534.993277241912)"
151,"(26318.778684586534, 27534.993277241912)","(26371.06159919205, 27597.809320837405)"
152,"(26371.06159919205, 27597.809320837405)","(26510.302919004433, 27702.500510842277)"
153,"(26510.302919004433, 27702.500510842277)","(26579.631128297202, 27753.031234996015)"
154,"(26579.631128297202, 27753.031234996015)","(26865.858780195165, 27917.845246935583)"
155,"(26865.858780195165, 27917.845246935583)","(26806.288624367648, 28056.767780172086)"
156,"(26806.288624367648, 28056.767780172086)","(26901.08141280667, 28091.46991442822)"
157,"(26901.08141280667, 28091.46991442822)","(26893.93964189703, 28198.79776032237)"
158,"(26893.93964189703, 28198.79776032237)","(26867.878647757432, 28242.20009341484)"
159,"(26867.878647757432, 28242.20009341484)","(26908.966011955956, 28271.562355282513)"
160,"(26908.966011955956, 28271.562355282513)","(26855.456748673518, 28339.396177846676)"
161,"(26855.456748673518, 28339.396177846676)","(26908.966011955956, 28271.562355282513)"
162,"(26908.966011955956, 28271.562355282513)","(26951.025503846904, 28196.210611835326)"
163,"(26951.025503846904, 28196.210611835326)","(26893.93964189703, 28198.79776032237)"
164,"(26893.93964189703, 28198.79776032237)","(26901.08141280667, 28091.46991442822)"
165,"(26901.08141280667, 28091.46991442822)","(26924.16594284406, 28096.99359715366)"
166,"(26924.16594284406, 28096.99359715366)","(26941.68482863193, 28054.774900157616)"
167,"(26941.68482863193, 28054.774900157616)","(26967.76443664744, 28016.928148561885)"
168,"(26967.76443664744, 28016.928148561885)","(26981.38428018395, 27967.028722701565)"
169,"(26981.38428018395, 27967.028722701565)","(26579.631128297202, 27753.031234996015)"
170,"(26579.631128297202, 27753.031234996015)","(26510.302919004433, 27702.500510842277)"
171,"(26510.302919004433, 27702.500510842277)","(26441.735495087138, 27651.22214853359)"
172,"(26441.735495087138, 27651.22214853359)","(26504.049747203826, 27557.905889718764)"
173,"(26504.049747203826, 27557.905889718764)","(26434.56218349267, 27508.040188063198)"
174,"(26434.56218349267, 27508.040188063198)","(26492.639332512976, 27422.151660594653)"
