,StartStationID,StartStationName,Start Latitude,Start Longitude,EndStationID,EndStationName,End Latitude,End Longitude,distance,duration
461,229.0,"Whitehall Place, Strand",51.50654321,-0.123179697,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,3759,1036
462,229.0,"Whitehall Place, Strand",51.50654321,-0.123179697,316.0,"Cardinal Place, Victoria",51.49768448,-0.141943703,2026,557
463,229.0,"Whitehall Place, Strand",51.50654321,-0.123179697,773.0,"Tallis Street, Temple",51.511891,-0.107349,1480,406
464,230.0,"Poured Lines, Bankside",51.50669284,-0.103137426,194.0,"Hop Exchange, The Borough",51.50462759,-0.091773776,824,174
465,230.0,"Poured Lines, Bankside",51.50669284,-0.103137426,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,2416,528
466,230.0,"Poured Lines, Bankside",51.50669284,-0.103137426,278.0,"Tooley Street, Bermondsey",51.5034938,-0.07962099,1816,434
467,230.0,"Poured Lines, Bankside",51.50669284,-0.103137426,314.0,"Tyers Gate, Bermondsey",51.50088934,-0.083159352,2060,472
468,230.0,"Poured Lines, Bankside",51.50669284,-0.103137426,321.0,"Bermondsey Street, Bermondsey",51.49785559,-0.081608045,2020,493
469,230.0,"Poured Lines, Bankside",51.50669284,-0.103137426,732.0,"Duke Street Hill, London Bridge",51.50630441,-0.087262995,1376,295
470,232.0,"Carey Street, Holborn",51.51501025,-0.112753217,374.0,"Waterloo Station 1, Waterloo",51.50402794,-0.11386436,1823,482
471,234.0,"Liverpool Road (N1 Centre), Angel",51.53450449,-0.106992706,697.0,"Charlotte Terrace, Angel",51.53639219,-0.112721065,538,82
472,235.0,"Kennington Road  , Vauxhall",51.49571828,-0.110889274,272.0,"Baylis Road, Waterloo",51.50144456,-0.110699309,700,168
473,239.0,"Warren Street Station, Euston",51.52443845,-0.138019439,12.0,"Malet Street, Bloomsbury",51.52168078,-0.130431727,1254,357
474,239.0,"Warren Street Station, Euston",51.52443845,-0.138019439,13.0,"Scala Street, Fitzrovia",51.51991453,-0.136039674,692,179
475,239.0,"Warren Street Station, Euston",51.52443845,-0.138019439,581.0,"New Cavendish Street, Marylebone",51.519167,-0.147983,1245,342
476,242.0,"Beaumont Street, Marylebone",51.52200801,-0.151359288,311.0,"Foley Street, Fitzrovia",51.51918144,-0.140485596,1130,302
477,243.0,"Gloucester Street, Pimlico",51.49096258,-0.139625122,360.0,"Howick Place, Westminster",51.49675303,-0.138733562,863,195
478,244.0,"Earnshaw Street , Covent Garden",51.51611887,-0.128585022,14.0,"Belgrove Street , King's Cross",51.52994371,-0.123616824,2645,654
479,246.0,"Berry Street, Clerkenwell",51.52285301,-0.099994052,14.0,"Belgrove Street , King's Cross",51.52994371,-0.123616824,2294,521
